"te","meaning","language","item","ipa","xsampa","lv","n_phon","n_syll","syll","freq","freq_syll","list"
272,"yellow","Catalan","groc","ɡɾɔk","g4Ok",0.142857142857143,4,1,"g4Ok",6.08465171587071,6.08465171587071,"A, B, C, D"
272,"yellow","Spanish","amarillo","a.maˈɾi.ʎo","a.ma""4i.Lo",0.142857142857143,7,4,"a, ma, 4i, Lo",6.08465171587071,28.5350990304221,"A, B, C, D"
273,"blue","Catalan","blau","bɫaw","b5aw",0,4,1,"b5aw",6.18107493714504,6.18107493714504,"A, B, C, D"
273,"blue","Spanish","azul","aˈθul","a""Tul",0,4,2,"a, Tul",6.18107493714504,13.5815747941901,"A, B, C, D"
274,"white","Catalan","blanc","bɫaŋ","b5aN",0.333333333333333,4,1,"b5aN",5.9969053602321,5.9969053602321,"A, B, C, D"
274,"white","Spanish","blanco","ˈblan.ko","""blan.ko",0.333333333333333,6,2,"blan, ko",5.9969053602321,13.0816540932241,"A, B, C, D"
276,"black","Catalan","negre","ˈnɛ.ɣɾə","""nE.G4@",0.6,5,2,"nE, G4@",5.98525125272952,12.5235538676815,"A, B, C, D"
276,"black","Spanish","negro","ˈne.ɣɾo","""ne.G4o",0.6,5,2,"ne, G4o",5.98525125272952,13.0998358392405,"A, B, C, D"
277,"red","Catalan","vermell","bərˈmɛʎ","b@r""mEL",0.166666666666667,6,2,"b@r, mEL",6.1883003818277,12.5225311198665,"A, B, C, D"
277,"red","Spanish","rojo","ˈro.xo","""ro.xo",0.166666666666667,4,2,"ro, xo",6.1883003818277,13.5864949412521,"A, B, C, D"
279,"green","Catalan","verd","bɛrt","bErt",0.2,4,1,"bErt",6.13723779903655,6.13723779903655,"A, B, C, D"
279,"green","Spanish","verde","ˈbeɾ.ðe","""be4.De",0.2,5,2,"be4, De",6.13723779903655,12.7508121234082,"A, B, C, D"
338,"water (beverage)","Catalan","aigua1","ˈaj.ɣwə","""aj.Gw@",0.6,5,2,"aj, Gw@",6.22816391678412,13.0583878248962,"A, B, C, D"
338,"water (beverage)","Spanish","agua1","ˈa.ɣwa","""a.Gwa",0.6,4,2,"a, Gwa",6.22816391678412,13.9296937694932,"A, B, C, D"
339,"beans","Catalan","mongeta","muɲˈʒɛ.təs","muJ""ZE.t@s",0.125,8,3,"muJ, ZE, t@s",6.10230150507337,18.8870585585141,"B"
339,"beans","Spanish","alubia","aˈlu.bjas","a""lu.bjas",0.125,7,3,"a, lu, bjas",6.10230150507337,19.9140563528534,"B"
341,"rice","Catalan","arros","əˈrɔs","@""rOs",0.25,4,2,"@, rOs",6.17005729443358,13.3742709011102,"D"
341,"rice","Spanish","arroz","aˈroθ","a""roT",0.25,4,2,"a, roT",6.17005729443358,13.5705571514787,"D"
342,"fish (food)","Catalan","toniya","tuˈɲi.nə","tu""Ji.n@",0.333333333333333,6,3,"tu, Ji, n@",6.18185393432927,20.5725014636223,"A"
342,"fish (food)","Spanish","atun","aˈtun","a""tun",0.333333333333333,4,2,"a, tun",6.18185393432927,13.5823537913743,"A"
343,"sugar","Catalan","sucre","ˈsu.kɾə","""su.k4@",0.333333333333333,5,2,"su, k4@",6.00833705712669,12.8812878651185,"B"
343,"sugar","Spanish","azucar","aˈθu.kaɾ","a""Tu.ka4",0.333333333333333,6,3,"a, Tu, ka4",6.00833705712669,20.4703060912024,"B"
345,"smoothie","Catalan","batut","bəˈtut","b@""tut",0.333333333333333,5,2,"b@, tut",6.16528592016552,12.9383709709983,"D"
345,"smoothie","Spanish","batido","baˈti.ðo","ba""ti.Do",0.333333333333333,6,3,"ba, ti, Do",6.16528592016552,20.891953864214,"D"
346,"drink (beverage)","Catalan","beguda","bəˈɣu.ðə","b@""Gu.D@",0.333333333333333,6,3,"b@, Gu, D@",6.15592732960003,19.8970087479001,"A"
346,"drink (beverage)","Spanish","bebida","beˈβi.ða","be""Bi.Da",0.333333333333333,6,3,"be, Bi, Da",6.15592732960003,20.2497099341903,"A"
349,"bottle","Catalan","bibero","bi.βəˈɾo","bi.B@""4o",0.714285714285714,6,3,"bi, B@, 4o",6.20693017249251,19.8468125906569,"D"
349,"bottle","Spanish","biberon","bi.βeˈɾon","bi.Be""4on",0.714285714285714,7,3,"bi, Be, 4on",6.20693017249251,19.7411659323623,"D"
351,"sandwich","Catalan","entrepa","en.tɾəˈpa","en.t4@""pa",0,7,3,"en, t4@, pa",6.1532488330107,19.5684377461076,"A, B, C, D"
351,"sandwich","Spanish","bocadillo","bo.kaˈði.ʎo","bo.ka""Di.Lo",0,8,4,"bo, ka, Di, Lo",6.1532488330107,28.0206074368603,"A, B, C, D"
352,"bun","Catalan","bollo","bɾiˈɔʃ","b4i""OS",0.2,5,2,"b4i, OS",5.78711537124506,11.5742307424901,"C"
352,"bun","Spanish","bollo","ˈbo.ʎo","""bo.Lo",0.2,4,2,"bo, Lo",5.78711537124506,13.9369690092263,"C"
353,"coffee","Catalan","cafe","kəˈfɛ","k@""fE",0.5,4,2,"k@, fE",6.17481295705149,13.3068751685612,"D"
353,"coffee","Spanish","cafe","kaˈfe","ka""fe",0.5,4,2,"ka, fe",6.17481295705149,13.7829909350487,"D"
354,"candy","Catalan","caramel","kə.ɾəˈmɛɫ","k@.4@""mE5",0.375,7,3,"k@, 4@, mE5",6.02212714620866,20.5345739913508,"A"
354,"candy","Spanish","caramelo","ka.ɾaˈme.lo","ka.4a""me.lo",0.375,8,4,"ka, 4a, me, lo",6.02212714620866,28.6883606749802,"A"
355,"meat","Catalan","carn","karn","karn",0.6,4,1,"karn",6.1986931278871,6.1986931278871,"B"
355,"meat","Spanish","carne","ˈkaɾ.ne","""ka4.ne",0.6,5,2,"ka4, ne",6.1986931278871,13.6549066964238,"B"
356,"cereal","Catalan","cereals","sə.ɾeˈaɫs","s@.4e""a5s",0.5,7,3,"s@, 4e, a5s",6.09895759413481,19.0784400921486,"C"
356,"cereal","Spanish","cereales","θe.ɾeˈa.les","Te.4e""a.les",0.5,8,4,"Te, 4e, a, les",6.09895759413481,26.889433225772,"C"
358,"chocolate","Catalan","xocolata","ʃu.kuˈɫa.tə","Su.ku""5a.t@",0.444444444444444,8,4,"Su, ku, 5a, t@",6.09539650030668,26.9672374223935,"A"
358,"chocolate","Spanish","chocolate","tʃo.koˈla.te","tSo.ko""la.te",0.444444444444444,9,4,"tSo, ko, la, te",6.09539650030668,27.2728500380207,"A"
359,"sausage","Catalan","xorico","ʃuˈɾi.su","Su""4i.su",0.428571428571429,6,3,"Su, 4i, su",5.7550934342154,19.6306797864772,"B"
359,"sausage","Spanish","chorizo","tʃoˈɾi.θo","tSo""4i.To",0.428571428571429,7,3,"tSo, 4i, To",5.7550934342154,19.5794089348306,"B"
362,"food","Catalan","menjar2","məɲˈʒa","m@J""Za",0.166666666666667,5,2,"m@J, Za",6.1528984236554,12.5052348096144,"A"
362,"food","Spanish","comida","koˈmi.ða","ko""mi.Da",0.166666666666667,6,3,"ko, mi, Da",6.1528984236554,20.7046549587092,"A"
365,"steak","Catalan","filet","fiˈlɛ","fi""lE",0.5,4,2,"fi, lE",5.93742568956491,12.1645119471252,"D"
365,"steak","Spanish","filete","fiˈle.te","fi""le.te",0.5,6,3,"fi, le, te",5.93742568956491,19.9991783153108,"D"
366,"strawberry","Catalan","maduixa","məˈðu.ʃə","m@""Du.S@",0,6,3,"m@, Du, S@",5.86379525407737,19.7451573120511,"A, B, C, D"
366,"strawberry","Spanish","fresa","ˈfɾe.sa","""f4e.sa",0,5,2,"f4e, sa",5.86379525407737,12.7775207454928,"A, B, C, D"
367,"fruit","Catalan","fruita","ˈfɾuj.tə","""f4uj.t@",0.666666666666667,6,2,"f4uj, t@",5.93868059720675,13.4636608388037,"B"
367,"fruit","Spanish","fruta","ˈfɾu.ta","""f4u.ta",0.666666666666667,5,2,"f4u, ta",5.93868059720675,13.3080783522779,"B"
368,"cookie","Catalan","galeta","ɡəˈɫɛ.tə","g@""5E.t@",0.333333333333333,6,3,"g@, 5E, t@",6.3571696601536,20.9263120907143,"A, B, C, D"
368,"cookie","Spanish","galleta","ɡaˈʎe.ta","ga""Le.ta",0.333333333333333,6,3,"ga, Le, ta",6.3571696601536,20.7762606877527,"A, B, C, D"
370,"peas","Catalan","pesol","ˈpɛ.zuɫs","""pE.zu5s",0.125,6,2,"pE, zu5s",6.14969567306426,12.5855000399617,"A"
370,"peas","Spanish","guisante","ɡiˈsan.tes","gi""san.tes",0.125,8,3,"gi, san, tes",6.14969567306426,19.3133651704045,"A"
371,"chips","Catalan","gusanitos","ɡu.saˈnitus","gu.sa""nitus",0.888888888888889,9,3,"gu, sa, nitus",6.03383963640869,18.4658255403353,"B"
371,"chips","Spanish","gusanitos","ɡu.saˈni.tos","gu.sa""ni.tos",0.888888888888889,9,4,"gu, sa, ni, tos",6.03383963640869,26.2843884354998,"B"
373,"ice","Catalan","gel","ʒɛɫ","ZE5",0,3,1,"ZE5",6.13518219718105,6.13518219718105,"D"
373,"ice","Spanish","hielo","ˈʝe.lo","""j\e.lo",0,4,2,"j\e, lo",6.13518219718105,13.2479813665333,"D"
374,"egg","Catalan","ou","ɔw","Ow",0,2,1,"Ow",6.15610278994263,6.15610278994263,"A, B, C, D"
374,"egg","Spanish","huevo","ˈwe.βo","""we.Bo",0,4,2,"we, Bo",6.15610278994263,13.073019954544,"A, B, C, D"
375,"ham","Catalan","pernil","pərˈniɫ","p@r""ni5",0,6,2,"p@r, ni5",6.03680630283145,12.3389876558674,"A, B, C, D"
375,"ham","Spanish","jamonyork","ˈxaˈmon","""xa""mon",0,5,2,"xa, mon",6.03680630283145,13.4421112473161,"A, B, C, D"
377,"milk","Catalan","llet","ʎet","Let",0.4,3,1,"Let",6.22045329027712,6.22045329027712,"A, B, C, D"
377,"milk","Spanish","leche","ˈle.tʃe","""le.tSe",0.4,5,2,"le, tSe",6.22045329027712,13.4798923352497,"A, B, C, D"
378,"lettuce","Catalan","enciam","ən.siˈam","@n.si""am",0,6,3,"@n, si, am",5.93878909842143,18.9723896074725,"A, B, C, D"
378,"lettuce","Spanish","lechuga","letˈʃu.ɣa","let""Su.Ga",0,7,3,"let, Su, Ga",5.93878909842143,18.4090477418122,"A, B, C, D"
379,"beans","Catalan","llenties","ʎənˈti.əs","L@n""ti.@s",0.375,7,3,"L@n, ti, @s",6.10230150507337,19.6162734136107,"B"
379,"beans","Spanish","lentejas","lenˈte.xas","len""te.xas",0.375,8,3,"len, te, xas",6.10230150507337,20.0806089378499,"B"
380,"lemon","Catalan","llimona","ʎiˈmo.nə","Li""mo.n@",0.666666666666667,6,3,"Li, mo, n@",5.90096819485785,20.33013027025,"A, B, C, D"
380,"lemon","Spanish","limon","liˈmon","li""mon",0.666666666666667,5,2,"li, mon",5.90096819485785,13.1287608332937,"A, B, C, D"
381,"pasta","Catalan","macarrons","mə.kəˈrons","m@.k@""rons",0.666666666666667,8,3,"m@, k@, rons",6.20410920959309,20.4517496209816,"D"
381,"pasta","Spanish","macarrones","ma.kaˈro.nes","ma.ka""ro.nes",0.666666666666667,9,4,"ma, ka, ro, nes",6.20410920959309,28.2375526998312,"D"
382,"tangerine","Catalan","mandarina","mən.ðəˈɾi.nə","m@n.D@""4i.n@",0.666666666666667,9,4,"m@n, D@, 4i, n@",6.22578726859696,27.1236672771164,"A"
382,"tangerine","Spanish","mandarina","man.ðaˈɾi.na","man.Da""4i.na",0.666666666666667,9,4,"man, Da, 4i, na",6.22578726859696,27.5796082925244,"A"
384,"apple","Catalan","poma","ˈpo.mə","""po.m@",0,4,2,"po, m@",6.18108374681065,13.6108074035374,"A, B, C, D"
384,"apple","Spanish","manzana","manˈθa.na","man""Ta.na",0,7,3,"man, Ta, na",6.18108374681065,20.6511801988944,"A, B, C, D"
386,"melon","Catalan","melo","məˈɫo","m@""5o",0.4,4,2,"m@, 5o",5.86461508457553,13.3529642658911,"A"
386,"melon","Spanish","melon","meˈlon","me""lon",0.4,5,2,"me, lon",5.86461508457553,12.7113351904075,"A"
389,"orange (food)","Catalan","taronja","ˈtɾɔɲ.ʒə","""t4OJ.Z@",0.142857142857143,6,2,"t4OJ, Z@",6.08269646258042,12.8360954570388,"A, B, C, D"
389,"orange (food)","Spanish","naranja","naˈɾan.xa","na""4an.xa",0.142857142857143,7,3,"na, 4an, xa",6.08269646258042,20.5438618972065,"A, B, C, D"
391,"olive","Catalan","oliva","uˈɫi.βə","u""5i.B@",0.4,5,3,"u, 5i, B@",5.65245142853089,20.4204941878193,"B"
391,"olive","Spanish","oliva","oˈli.βa","o""li.Ba",0.4,5,3,"o, li, Ba",5.65245142853089,20.0303544900558,"B"
393,"bread","Catalan","pa","pa","pa",0.666666666666667,2,1,"pa",6.1366237525504,6.78013810056507,"A, B, C, D"
393,"bread","Spanish","pan","pan","pan",0.666666666666667,3,1,"pan",6.1366237525504,6.50668318529925,"A, B, C, D"
394,"raisin","Catalan","panses","ˈpan.səs","""pan.s@s",0.666666666666667,6,2,"pan, s@s",6.01793685019876,12.0358737003975,"A"
394,"raisin","Spanish","pasas","ˈpa.sas","""pa.sas",0.666666666666667,5,2,"pa, sas",6.01793685019876,13.3592276909873,"A"
397,"potato","Catalan","patata","pəˈta.tə","p@""ta.t@",0.666666666666667,6,3,"p@, ta, t@",6.09884148339793,20.9223606770355,"D"
397,"potato","Spanish","patata","paˈta.ta","pa""ta.ta",0.666666666666667,6,3,"pa, ta, ta",6.09884148339793,22.0800863509309,"D"
399,"pear","Catalan","pera2","ˈpɛ.ɾə","""pE.4@",0.5,4,2,"pE, 4@",6.11932211332837,13.8161890005298,"B"
399,"pear","Spanish","pera","ˈpe.ɾa","""pe.4a",0.5,4,2,"pe, 4a",6.11932211332837,14.057146625554,"B"
400,"fish (food)","Catalan","peix2","peʃ","peS",0.285714285714286,3,1,"peS",6.18185393432927,6.48288392999326,"C"
400,"fish (food)","Spanish","pescado","pesˈka.ðo","pes""ka.Do",0.285714285714286,7,3,"pes, ka, Do",6.18185393432927,20.4901605684871,"C"
402,"pizza","Catalan","pizza","ˈpid.zə","""pid.z@",0.6,5,2,"pid, z@",6.38985145057617,13.0219073290648,"A"
402,"pizza","Spanish","pizza","ˈpid.sa","""pid.sa",0.6,5,2,"pid, sa",6.38985145057617,13.3035769419916,"A"
404,"chicken (food)","Catalan","pollastre","puˈʎas.tɾə","pu""Las.t4@",0.25,8,3,"pu, Las, t4@",6.12959113455831,19.4930088746272,"C"
404,"chicken (food)","Spanish","pollo","ˈpo.ʎo","""po.Lo",0.25,4,2,"po, Lo",6.12959113455831,13.8992984103387,"C"
405,"applesauce","Catalan","potet","puˈtɛt","pu""tEt",0.5,5,2,"pu, tEt",6.2414100037862,13.1190936324387,"D"
405,"applesauce","Spanish","potito","poˈti.to","po""ti.to",0.5,6,3,"po, ti, to",6.2414100037862,21.2652007173678,"D"
407,"cheese","Catalan","formatge","furˈma.dʒə","fur""ma.dZ@",0,8,3,"fur, ma, dZ@",6.28380773484906,19.9584468808831,"A, B, C, D"
407,"cheese","Spanish","queso","ˈke.so","""ke.so",0,4,2,"ke, so",6.28380773484906,13.7840647901708,"A, B, C, D"
408,"sausage","Catalan","salsitxa","səɫˈsi.t͡ʃə","s@5""si.t͡S@",0.333333333333333,9,3,"s@5, si, t͡S@",5.7550934342154,19.1616451654109,"C"
408,"sausage","Spanish","salchicha","salˈtʃi.tʃa","sal""tSi.tSa",0.333333333333333,9,3,"sal, tSi, tSa",5.7550934342154,18.5127586304876,"C"
409,"watermelon","Catalan","sindria","ˈsin.dɾi.ə","""sin.d4i.@",0.428571428571429,7,3,"sin, d4i, @",5.71884971056197,19.0153609652241,"D"
409,"watermelon","Spanish","sandia","sanˈði.a","san""Di.a",0.428571428571429,6,3,"san, Di, a",5.71884971056197,20.4371671829977,"D"
410,"soup","Catalan","sopa","ˈso.pə","""so.p@",0.75,4,2,"so, p@",6.2290397922544,13.5925931375476,"A"
410,"soup","Spanish","sopa","ˈso.pa","""so.pa",0.75,4,2,"so, pa",6.2290397922544,14.3690467825946,"A"
412,"tomato","Catalan","tomaquet","tuˈma.kət","tu""ma.k@t",0.428571428571429,7,3,"tu, ma, k@t",6.00317046542715,19.929054187657,"A, B, C, D"
412,"tomato","Spanish","tomate","toˈma.te","to""ma.te",0.428571428571429,6,3,"to, ma, te",6.00317046542715,21.7572696419674,"A, B, C, D"
414,"toast","Catalan","torrada","tuˈra.ðə","tu""ra.D@",0.428571428571429,6,3,"tu, ra, D@",6.18259011959635,20.5996185034574,"A"
414,"toast","Spanish","tostada","tosˈta.ða","tos""ta.Da",0.428571428571429,7,3,"tos, ta, Da",6.18259011959635,20.9630368922809,"A"
415,"grapes","Catalan","raim","rəˈim","r@""im",0,4,2,"r@, im",6.04743368428325,12.9566711810354,"A, B, C, D"
415,"grapes","Spanish","uvas","ˈu.βas","""u.Bas",0,4,2,"u, Bas",6.04743368428325,12.2629190593753,"A, B, C, D"
416,"yogurt","Catalan","iogurt","juˈɣurt","ju""Gurt",0.5,6,2,"ju, Gurt",6.24536162879745,12.4907232575949,"C"
416,"yogurt","Spanish","yogur","ʝoˈɣuɾ","j\o""Gu4",0.5,5,2,"j\o, Gu4",6.24536162879745,12.4907232575949,"C"
417,"carrot","Catalan","pastanaga","pəs.təˈna.ɣə","p@s.t@""na.G@",0,9,4,"p@s, t@, na, G@",5.97091338302859,26.0397809838645,"A, B, C, D"
417,"carrot","Spanish","zanahoria","θa.naˈo.ɾja","Ta.na""o.4ja",0,8,4,"Ta, na, o, 4ja",5.97091338302859,27.175216371569,"A, B, C, D"
418,"juice","Catalan","suc","suk","suk",0.25,3,1,"suk",6.37383789753501,6.37383789753501,"A, B, C, D"
418,"juice","Spanish","zumo","ˈθu.mo","""Tu.mo",0.25,4,2,"Tu, mo",6.37383789753501,13.24721675863,"A, B, C, D"
419,"bath","Catalan","bany","baɲ","baJ",0.75,3,1,"baJ",6.03629844240345,6.03629844240345,"A, B, C, D"
419,"bath","Spanish","bano","ˈba.ɲo","""ba.Jo",0.75,4,2,"ba, Jo",6.03629844240345,13.3220091391918,"A, B, C, D"
420,"kitchen","Catalan","cuina","ˈkuj.nə","""kuj.n@",0.333333333333333,5,2,"kuj, n@",5.98724268755834,13.250301562739,"A, B, C, D"
420,"kitchen","Spanish","cocina","koˈθi.na","ko""Ti.na",0.333333333333333,6,3,"ko, Ti, na",5.98724268755834,21.1900844908933,"A, B, C, D"
424,"corridor","Catalan","passadis","pə.səˈðis","p@.s@""Dis",0.285714285714286,7,3,"p@, s@, Dis",5.72399801003795,19.5373443769117,"A, B, C, D"
424,"corridor","Spanish","pasillo","paˈsi.ʎo","pa""si.Lo",0.285714285714286,6,3,"pa, si, Lo",5.72399801003795,21.0272159499833,"A, B, C, D"
426,"terrace","Catalan","terrassa","təˈra.sə","t@""ra.s@",0.5,6,3,"t@, ra, s@",5.15939212099071,20.9095386273536,"A, B, C, D"
426,"terrace","Spanish","terraza","teˈra.θa","te""ra.Ta",0.5,6,3,"te, ra, Ta",5.15939212099071,20.9525155868909,"A, B, C, D"
461,"vacuum","Catalan","aspiradora","əs.pi.ɾəˈðɔ.ɾə","@s.pi.4@""DO.4@",0.6,10,5,"@s, pi, 4@, DO, 4@",5.95640599884383,34.3676514673544,"B"
461,"vacuum","Spanish","aspiradora","as.pi.ɾaˈðo.ɾa","as.pi.4a""Do.4a",0.6,10,5,"as, pi, 4a, Do, 4a",5.95640599884383,34.015374625987,"B"
463,"tray","Catalan","safata","səˈβa.tə","s@""Ba.t@",0,6,3,"s@, Ba, t@",5.93459045946521,20.340095604941,"D"
463,"tray","Spanish","bandeja","banˈðe.xa","ban""De.xa",0,7,3,"ban, De, xa",5.93459045946521,19.9197654393396,"D"
464,"bathtub","Catalan","banyera","bəˈɲe.ɾə","b@""Je.4@",0.666666666666667,6,3,"b@, Je, 4@",5.92816400090218,20.0816336853674,"A"
464,"bathtub","Spanish","banera","baˈɲe.ɾa","ba""Je.4a",0.666666666666667,6,3,"ba, Je, 4a",5.92816400090218,20.5687795000584,"A"
466,"blender","Catalan","batedora","bə.təˈðo.ɾə","b@.t@""Do.4@",0.625,8,4,"b@, t@, Do, 4@",6.01892472197855,28.3395671279989,"C"
466,"blender","Spanish","batidora","ba.tiˈðo.ɾa","ba.ti""Do.4a",0.625,8,4,"ba, ti, Do, 4a",6.01892472197855,28.1808345523494,"C"
468,"bottle","Catalan","ampolla","əmˈpo.ʎə","@m""po.L@",0.166666666666667,6,3,"@m, po, L@",6.20693017249251,19.9104573090658,"A, B, C, D"
468,"bottle","Spanish","botella","boˈte.ʎa","bo""te.La",0.166666666666667,6,3,"bo, te, La",6.20693017249251,20.9306011516424,"A, B, C, D"
469,"drawer","Catalan","calaixera","kə.ɫəˈʃe.ɾə","k@.5@""Se.4@",0.375,8,4,"k@, 5@, Se, 4@",5.84110486011317,27.0705296163722,"B"
469,"drawer","Spanish","cajonera","ka.xoˈne.ɾa","ka.xo""ne.4a",0.375,8,4,"ka, xo, ne, 4a",5.84110486011317,28.5527525789641,"B"
471,"bed","Catalan","llit","ʎit","Lit",0,3,1,"Lit",6.13211417775517,6.13211417775517,"A, B, C, D"
471,"bed","Spanish","cama","ˈka.ma","""ka.ma",0,4,2,"ka, ma",6.13211417775517,14.7247090213227,"A, B, C, D"
472,"photo","Catalan","camera","ˈka.mə.ɾə","""ka.m@.4@",0.666666666666667,6,3,"ka, m@, 4@",5.52550854325776,21.3461478829986,"A"
472,"photo","Spanish","camara","ˈka.ma.ɾa","""ka.ma.4a",0.666666666666667,6,3,"ka, ma, 4a",5.52550854325776,22.0135897094581,"A"
474,"coin","Catalan","centim","ˈsɛn.tim","""sEn.tim",0.571428571428571,6,2,"sEn, tim",5.80845583926517,11.6169116785303,"C"
474,"coin","Spanish","centimo","θen.ti.mo","Ten.ti.mo",0.571428571428571,7,3,"Ten, ti, mo",5.80845583926517,19.6059519251785,"C"
475,"brush (object)","Catalan","raspall","rəsˈpaʎ","r@s""paL",0.166666666666667,6,2,"r@s, paL",6.19609901320759,12.6027374999316,"A, B, C, D"
475,"brush (object)","Spanish","cepillo","θeˈpi.ʎo","Te""pi.Lo",0.166666666666667,6,3,"Te, pi, Lo",6.19609901320759,20.4054342814215,"A, B, C, D"
477,"basket","Catalan","cistella","sisˈte.ʎə","sis""te.L@",0.285714285714286,7,3,"sis, te, L@",5.94699576891958,19.5605647420824,"A, B, C, D"
477,"basket","Spanish","cesta","ˈθes.ta","""Tes.ta",0.285714285714286,5,2,"Tes, ta",5.94699576891958,13.3163935239908,"A, B, C, D"
478,"pacifier","Catalan","xumet","ʃuˈmɛt","Su""mEt",0.428571428571429,5,2,"Su, mEt",5.83570664068554,12.2335861940139,"C"
478,"pacifier","Spanish","chupete","tʃuˈpe.te","tSu""pe.te",0.428571428571429,7,3,"tSu, pe, te",5.83570664068554,20.0735938979412,"C"
480,"neighborhood","Catalan","colonia","koˈlo.nja","ko""lo.nja",1,7,3,"ko, lo, nja",5.61483181620864,16.8455484426142,"A"
480,"neighborhood","Spanish","colonia","koˈlo.nja","ko""lo.nja",1,7,3,"ko, lo, nja",5.61483181620864,19.8123797185529,"A"
481,"park","Catalan","parc2","park","park",0.125,4,1,"park",5.89820782055215,6.19923781621613,"B"
481,"park","Spanish","corralito","ko.raˈli.to","ko.ra""li.to",0.125,8,4,"ko, ra, li, to",5.89820782055215,28.1872561248343,"B"
484,"blocks","Catalan","galleda","ɡəˈʎɛ.ðə","g@""LE.D@",0,6,3,"g@, LE, D@",6.17396339171812,19.9171430042241,"A, B, C, D"
484,"blocks","Spanish","cubo","ˈku.βo","""ku.Bo",0,4,2,"ku, Bo",6.17396339171812,13.569067964567,"A, B, C, D"
486,"spoon","Catalan","cullera","kuˈʎe.ɾə","ku""Le.4@",0.428571428571429,6,3,"ku, Le, 4@",6.1937948390889,20.8993530130532,"A, B, C, D"
486,"spoon","Spanish","cuchara","kuˈtʃa.ɾa","ku""tSa.4a",0.428571428571429,7,3,"ku, tSa, 4a",6.1937948390889,20.5489351526851,"A, B, C, D"
487,"knife","Catalan","ganivet","ɡə.niˈβɛt","g@.ni""BEt",0,7,3,"g@, ni, BEt",5.92571773269331,19.035406539022,"A, B, C, D"
487,"knife","Spanish","cuchillo","kuˈtʃi.ʎo","ku""tSi.Lo",0,7,3,"ku, tSi, Lo",5.92571773269331,19.8264209263711,"A, B, C, D"
490,"money","Catalan","diners","diˈnes","di""nes",0.666666666666667,5,2,"di, nes",6.14691827930386,13.1080454945024,"C"
490,"money","Spanish","dinero","diˈne.ɾo","di""ne.4o",0.666666666666667,6,3,"di, ne, 4o",6.14691827930386,20.5272686852996,"C"
491,"shower","Catalan","dutxa","ˈdu.t͡ʃə","""du.t͡S@",0.666666666666667,6,2,"du, t͡S@",6.01137173970439,12.5814806457027,"D"
491,"shower","Spanish","ducha","ˈdu.tʃa","""du.tSa",0.666666666666667,5,2,"du, tSa",6.01137173970439,12.6192754042884,"D"
493,"plug","Catalan","endoll","ənˈdoʎ","@n""doL",0.142857142857143,5,2,"@n, doL",5.84787084703837,12.0446056664944,"B"
493,"plug","Spanish","enchufe","enˈtʃu.fe","en""tSu.fe",0.142857142857143,7,3,"en, tSu, fe",5.84787084703837,18.3331696454379,"B"
494,"stairs","Catalan","escala","əsˈka.ɫəs","@s""ka.5@s",0.444444444444444,7,3,"@s, ka, 5@s",5.88306645979467,19.5023984991256,"C"
494,"stairs","Spanish","escalera","eskaˈle.ɾas","eska""le.4as",0.444444444444444,9,3,"eska, le, 4as",5.88306645979467,18.6654189115363,"C"
496,"mirror","Catalan","mirall","miˈɾaʎ","mi""4aL",0,5,2,"mi, 4aL",6.01220320209136,12.8021232141266,"A, B, C, D"
496,"mirror","Spanish","espejo","esˈpe.xo","es""pe.xo",0,6,3,"es, pe, xo",6.01220320209136,20.1486449955469,"A, B, C, D"
497,"sponge","Catalan","esponja","əsˈpɔɲ.ʒə","@s""pOJ.Z@",0.285714285714286,7,3,"@s, pOJ, Z@",5.90888812107228,19.4314341053741,"B"
497,"sponge","Spanish","esponja","esˈpon.xa","es""pon.xa",0.285714285714286,7,3,"es, pon, xa",5.90888812107228,19.7474379395419,"B"
498,"stove","Catalan","estufa","əsˈtu.fə","@s""tu.f@",0.666666666666667,6,3,"@s, tu, f@",6.08306326854402,20.2222076894763,"C"
498,"stove","Spanish","estufa","esˈtu.fa","es""tu.fa",0.666666666666667,6,3,"es, tu, fa",6.08306326854402,19.7787482981105,"C"
499,"faucet","Catalan","aixeta","əˈʃɛ.tə","@""SE.t@",0,5,3,"@, SE, t@",5.8031281415699,20.5323219898434,"A, B, C, D"
499,"faucet","Spanish","grifo","ˈɡɾi.fo","""g4i.fo",0,5,2,"g4i, fo",5.8031281415699,12.0772960061004,"A, B, C, D"
500,"oven","Catalan","forn","forn","forn",0.25,4,1,"forn",5.86077340236464,5.86077340236464,"A, B, C, D"
500,"oven","Spanish","horno","ˈoɾ.no","""o4.no",0.25,4,2,"o4, no",5.86077340236464,12.9627383176416,"A, B, C, D"
502,"soap","Catalan","sabo","səˈβo","s@""Bo",0.4,4,2,"s@, Bo",5.97069831870842,12.9931392210235,"A, B, C, D"
502,"soap","Spanish","jabon","xaˈβon","xa""Bon",0.4,5,2,"xa, Bon",5.97069831870842,13.1376029199946,"A, B, C, D"
503,"syrup","Catalan","xarop","ʃəˈɾɔp","S@""4Op",0.166666666666667,5,2,"S@, 4Op",5.88359806948311,12.6493819275781,"D"
503,"syrup","Spanish","jarabe","xaˈɾa.βe","xa""4a.Be",0.166666666666667,6,3,"xa, 4a, Be",5.88359806948311,21.248737680723,"D"
504,"jar","Catalan","gerra","ˈʒɛ.rə","""ZE.r@",0.25,4,2,"ZE, r@",5.81337118060893,13.1917010556552,"A"
